"","poverty_level","primary_focus_area","date_completed","total_price_excluding_optional_support","students_reached"
"509","moderate poverty","History & Civics","2005-04",818.98,42
"510","high poverty","Literacy & Language","2005-04",4041.41,1275
"511","highest poverty","Literacy & Language","2005-04",72330.03,8157
"512","moderate poverty","Literacy & Language","2005-04",4886.45,373
"513","high poverty","Math & Science","2005-04",6089.49,889
"514","highest poverty","Math & Science","2005-04",35252.62,4764
"515","low poverty","Math & Science","2005-04",435.63,36
"516","moderate poverty","Math & Science","2005-04",1695.37,473
"517","high poverty","Music & The Arts","2005-04",6667.66,2385
"518","highest poverty","Music & The Arts","2005-04",23840.58,3717
"519","low poverty","Music & The Arts","2005-04",487.9,450
"520","moderate poverty","Music & The Arts","2005-04",1743.54,398
"521","high poverty","Special Needs","2005-04",1249.48,93
"522","highest poverty","Special Needs","2005-04",2880.35,363
"523","moderate poverty","Special Needs","2005-04",376.18,18
"524","high poverty","Applied Learning","2005-05",4009.95,634
"525","highest poverty","Applied Learning","2005-05",31752.32,2628
"526","moderate poverty","Applied Learning","2005-05",805.66,60
"527","highest poverty","Health & Sports","2005-05",5800.15,3236
"528","low poverty","Health & Sports","2005-05",632.42,40
"529","high poverty","History & Civics","2005-05",594.6,40
"530","highest poverty","History & Civics","2005-05",24423.99,4031
"531","moderate poverty","History & Civics","2005-05",568.88,32
"532","high poverty","Literacy & Language","2005-05",7481.36,229
"533","highest poverty","Literacy & Language","2005-05",45272.46,6250
"534","low poverty","Literacy & Language","2005-05",1141.86,94
"535","moderate poverty","Literacy & Language","2005-05",2845.41,215
"536","high poverty","Math & Science","2005-05",6609.68,449
"537","highest poverty","Math & Science","2005-05",30210.78,4672
"538","low poverty","Math & Science","2005-05",1770.19,88
"539","moderate poverty","Math & Science","2005-05",2697.6,335
"540","high poverty","Music & The Arts","2005-05",4198.91,701
"541","highest poverty","Music & The Arts","2005-05",17647.78,2718
"542","low poverty","Music & The Arts","2005-05",108.65,35
"543","moderate poverty","Music & The Arts","2005-05",2106.89,119
"544","high poverty","Special Needs","2005-05",2432.33,63
"545","highest poverty","Special Needs","2005-05",5113.67,287
"546","high poverty","Applied Learning","2005-06",3733.07,1800
"547","highest poverty","Applied Learning","2005-06",22400.79,3485
"548","moderate poverty","Applied Learning","2005-06",3498.33,436
"549","high poverty","Health & Sports","2005-06",473.56,40
"550","highest poverty","Health & Sports","2005-06",10681.26,2787
"551","moderate poverty","Health & Sports","2005-06",673.43,241
"552","high poverty","History & Civics","2005-06",2589.72,174
"553","highest poverty","History & Civics","2005-06",19063.93,1762
"554","low poverty","History & Civics","2005-06",668.3,34
"555","moderate poverty","History & Civics","2005-06",296.23,33
"556","high poverty","Literacy & Language","2005-06",9101.82,1234
"557","highest poverty","Literacy & Language","2005-06",64230.67,9837
"558","low poverty","Literacy & Language","2005-06",1042.43,25
"559","moderate poverty","Literacy & Language","2005-06",5653.4,1039
"560","high poverty","Math & Science","2005-06",3828.78,421
"561","highest poverty","Math & Science","2005-06",20524.78,4301
"562","low poverty","Math & Science","2005-06",514.55,88
"563","moderate poverty","Math & Science","2005-06",2341.11,438
"564","high poverty","Music & The Arts","2005-06",5306.77,2013
"565","highest poverty","Music & The Arts","2005-06",28802.51,5239
"566","low poverty","Music & The Arts","2005-06",2578.18,1225
"567","moderate poverty","Music & The Arts","2005-06",1252.56,220
"568","high poverty","Special Needs","2005-06",1575.44,114
"569","highest poverty","Special Needs","2005-06",1228.99,43
"570","moderate poverty","Special Needs","2005-06",174.25,18
"571","high poverty","Applied Learning","2005-07",1861.66,143
"572","highest poverty","Applied Learning","2005-07",21140.03,3778
"573","moderate poverty","Applied Learning","2005-07",1499.58,76
"574","highest poverty","Health & Sports","2005-07",1662.56,551
"575","high poverty","History & Civics","2005-07",589.38,140
"576","highest poverty","History & Civics","2005-07",5427.25,433
"577","moderate poverty","History & Civics","2005-07",60.48,65
"578","high poverty","Literacy & Language","2005-07",2164.14,209
"579","highest poverty","Literacy & Language","2005-07",15802.85,3178
"580","low poverty","Literacy & Language","2005-07",1069.08,143
"581","moderate poverty","Literacy & Language","2005-07",1026.26,125
"582","high poverty","Math & Science","2005-07",1119.3,177
"583","highest poverty","Math & Science","2005-07",6673.16,1866
"584","moderate poverty","Math & Science","2005-07",136.32,22
"585","highest poverty","Music & The Arts","2005-07",23442.66,2435
"586","highest poverty","Special Needs","2005-07",1301.76,51
"587","moderate poverty","Special Needs","2005-07",220.38,2
"588","high poverty","Applied Learning","2005-08",2191.04,311
"589","highest poverty","Applied Learning","2005-08",15881.56,2888
"590","moderate poverty","Applied Learning","2005-08",1013.18,267
"591","high poverty","Health & Sports","2005-08",301.35,517
"592","highest poverty","Health & Sports","2005-08",3956.44,1270
"593","high poverty","History & Civics","2005-08",3807.9,636
"594","highest poverty","History & Civics","2005-08",3974.48,839
"595","low poverty","History & Civics","2005-08",265.07,20
"596","high poverty","Literacy & Language","2005-08",3676.6,572
"597","highest poverty","Literacy & Language","2005-08",27958.24,4018
"598","low poverty","Literacy & Language","2005-08",1445.66,110
"599","moderate poverty","Literacy & Language","2005-08",822.05,175
"600","high poverty","Math & Science","2005-08",4306,491
"601","highest poverty","Math & Science","2005-08",10364.9,2034
"602","moderate poverty","Math & Science","2005-08",489.96,129
"603","high poverty","Music & The Arts","2005-08",1799.44,308
"604","highest poverty","Music & The Arts","2005-08",13291.15,1635
"605","moderate poverty","Music & The Arts","2005-08",643.71,568
"606","highest poverty","Special Needs","2005-08",3067.84,307
"607","high poverty","Applied Learning","2005-09",4090.8,435
"608","highest poverty","Applied Learning","2005-09",37017.41,4754
"609","low poverty","Applied Learning","2005-09",108.65,45
"610","moderate poverty","Applied Learning","2005-09",2924.34,685
"611","high poverty","Health & Sports","2005-09",405.9,630
"612","highest poverty","Health & Sports","2005-09",3011.46,1085
"613","moderate poverty","Health & Sports","2005-09",2176.07,650
"614","high poverty","History & Civics","2005-09",128.13,25
"615","highest poverty","History & Civics","2005-09",7361.59,1493
"616","high poverty","Literacy & Language","2005-09",7182,3923
"617","highest poverty","Literacy & Language","2005-09",27563.58,4309
"618","low poverty","Literacy & Language","2005-09",1029.1,80
"619","moderate poverty","Literacy & Language","2005-09",6174.27,270
"620","high poverty","Math & Science","2005-09",3494.08,560
"621","highest poverty","Math & Science","2005-09",10906.61,2194
"622","low poverty","Math & Science","2005-09",2201.7,145
"623","moderate poverty","Math & Science","2005-09",506.77,68
"624","high poverty","Music & The Arts","2005-09",884.59,745
"625","highest poverty","Music & The Arts","2005-09",16521.6,3315
"626","moderate poverty","Music & The Arts","2005-09",1581.59,325
"627","high poverty","Special Needs","2005-09",818.97,400
"628","highest poverty","Special Needs","2005-09",7244.47,371
"629","high poverty","Applied Learning","2005-10",4464.35,448
"630","highest poverty","Applied Learning","2005-10",28370.53,3629
"631","moderate poverty","Applied Learning","2005-10",1256.66,221
"632","highest poverty","Health & Sports","2005-10",3690.74,907
"633","low poverty","Health & Sports","2005-10",362.85,15
"634","moderate poverty","Health & Sports","2005-10",455.82,20
"635","high poverty","History & Civics","2005-10",1671.79,308
"636","highest poverty","History & Civics","2005-10",8932.04,1616
"637","high poverty","Literacy & Language","2005-10",9158.14,1940
"638","highest poverty","Literacy & Language","2005-10",24100.93,3784
"639","low poverty","Literacy & Language","2005-10",3573.98,310
"640","moderate poverty","Literacy & Language","2005-10",4764.23,207
"641","high poverty","Math & Science","2005-10",8812.27,1805
"642","highest poverty","Math & Science","2005-10",16112.38,2891
"643","moderate poverty","Math & Science","2005-10",629.35,100
"644","high poverty","Music & The Arts","2005-10",1470.98,60
"645","highest poverty","Music & The Arts","2005-10",10898.85,4633
"646","low poverty","Music & The Arts","2005-10",542.23,40
"647","moderate poverty","Music & The Arts","2005-10",459.21,320
"648","high poverty","Special Needs","2005-10",5813.43,220
"649","highest poverty","Special Needs","2005-10",1852.04,107
"650","high poverty","Applied Learning","2005-11",3251.44,515
"651","highest poverty","Applied Learning","2005-11",34199.6,6057
"652","low poverty","Applied Learning","2005-11",1172.6,110
"653","moderate poverty","Applied Learning","2005-11",855.36,65
"654","high poverty","Health & Sports","2005-11",421.43,118
"655","highest poverty","Health & Sports","2005-11",6218.71,4286
"656","moderate poverty","Health & Sports","2005-11",728.78,82
"657","high poverty","History & Civics","2005-11",1230.01,44
"658","highest poverty","History & Civics","2005-11",8697.38,1682
"659","low poverty","History & Civics","2005-11",333.13,25
"660","moderate poverty","History & Civics","2005-11",547.36,50
"661","high poverty","Literacy & Language","2005-11",9940.45,3048
"662","highest poverty","Literacy & Language","2005-11",43906.47,5744
"663","low poverty","Literacy & Language","2005-11",975.81,140
"664","moderate poverty","Literacy & Language","2005-11",3887.36,492
"665","high poverty","Math & Science","2005-11",4846.22,1010
"666","highest poverty","Math & Science","2005-11",16005.17,3452
"667","low poverty","Math & Science","2005-11",909.14,40
"668","moderate poverty","Math & Science","2005-11",1473.55,140
"669","high poverty","Music & The Arts","2005-11",4214.81,1630
"670","highest poverty","Music & The Arts","2005-11",27811.44,15792
"671","low poverty","Music & The Arts","2005-11",89.18,20
"672","moderate poverty","Music & The Arts","2005-11",2934.6,1175
"673","high poverty","Special Needs","2005-11",484.83,50
"674","highest poverty","Special Needs","2005-11",42940.33,468
"675","moderate poverty","Special Needs","2005-11",470.48,67
"676","high poverty","Applied Learning","2005-12",7153.82,1570
"677","highest poverty","Applied Learning","2005-12",55838.89,9746
"678","low poverty","Applied Learning","2005-12",4953.63,50
"679","moderate poverty","Applied Learning","2005-12",7837.17,374
"680","high poverty","Health & Sports","2005-12",3979.03,419
"681","highest poverty","Health & Sports","2005-12",37820.67,5498
"682","low poverty","Health & Sports","2005-12",335,300
"683","moderate poverty","Health & Sports","2005-12",1034.24,344
"684","high poverty","History & Civics","2005-12",3820.12,430
"685","highest poverty","History & Civics","2005-12",19313.15,2288
"686","low poverty","History & Civics","2005-12",484.83,60
"687","moderate poverty","History & Civics","2005-12",640.63,48
"688","high poverty","Literacy & Language","2005-12",20352.55,3007
"689","highest poverty","Literacy & Language","2005-12",141687.43,18347
"690","low poverty","Literacy & Language","2005-12",1748.66,180
"691","moderate poverty","Literacy & Language","2005-12",9707.84,918
"692","high poverty","Math & Science","2005-12",9240.2,1272
"693","highest poverty","Math & Science","2005-12",58673.35,13139
"694","low poverty","Math & Science","2005-12",2243.63,167
"695","moderate poverty","Math & Science","2005-12",3187.05,1397
"696","high poverty","Music & The Arts","2005-12",9525.49,1510
"697","highest poverty","Music & The Arts","2005-12",75904.3,19032
"698","low poverty","Music & The Arts","2005-12",670.36,128
"699","moderate poverty","Music & The Arts","2005-12",8163.44,2619
"700","high poverty","Special Needs","2005-12",2274.49,192
"701","highest poverty","Special Needs","2005-12",9118.03,619
"702","moderate poverty","Special Needs","2005-12",3994.44,36
"703","high poverty","Applied Learning","2006-01",8378.91,1435
"704","highest poverty","Applied Learning","2006-01",33454.75,9592
"705","moderate poverty","Applied Learning","2006-01",1414.81,119
"706","high poverty","Health & Sports","2006-01",4327.56,336
"707","highest poverty","Health & Sports","2006-01",12614.73,5945
"708","moderate poverty","Health & Sports","2006-01",2924.08,1343
"709","high poverty","History & Civics","2006-01",5392.93,1050
"710","highest poverty","History & Civics","2006-01",20639.89,4220
"711","low poverty","History & Civics","2006-01",690.85,45
"712","high poverty","Literacy & Language","2006-01",22126.68,6101
"713","highest poverty","Literacy & Language","2006-01",90474.41,10003
"714","low poverty","Literacy & Language","2006-01",3775.18,110
"715","moderate poverty","Literacy & Language","2006-01",10231.84,871
"716","high poverty","Math & Science","2006-01",12324.3,2764
"717","highest poverty","Math & Science","2006-01",40801.45,9942
